scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,32.2017,0.7777,0.8001,0.8001,5645.6294,0.0,0.0,0.0,5645.6294,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,33.0036,0.8948,0.8347,0.8948,6170.6818,0.0,0.0,0.0,6170.6818,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,33.004,0.8845,0.7554,0.8845,5437.6544,0.0,0.0,0.0,5437.6544,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,34.0037,0.8948,0.8347,0.8948,6401.7065,0.0,0.0,0.0,6401.7065,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,34.004,0.8845,0.7554,0.8845,5637.6692,0.0,0.0,0.0,5637.6692,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,35.0038,0.8948,0.8347,0.8948,6632.7296,0.0,0.0,0.0,6632.7296,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,35.0042,0.8845,0.7554,0.8845,5837.6974,0.0,0.0,0.0,5837.6974,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,36.0039,0.8948,0.8347,0.8948,6863.7511,0.0,0.0,0.0,6863.7511,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,36.0043,0.8845,0.7554,0.8845,6037.73,0.0,0.0,0.0,6037.73,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,37.004,0.8948,0.8347,0.8948,7094.7802,0.0,0.0,0.0,7094.7802,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,37.0045,0.8845,0.7554,0.8845,6237.761,0.0,0.0,0.0,6237.761,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,37.4742,0.7777,0.8001,0.8001,6737.0481,0.0,0.0,0.0,6737.0481,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,38.0046,0.8845,0.7554,0.8845,6437.7834,0.0,0.0,0.0,6437.7834,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,38.3602,0.8948,0.8347,0.8948,7408.0619,0.0,0.0,0.0,7408.0619,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,39.0048,0.8845,0.7554,0.8845,6637.8188,0.0,0.0,0.0,6637.8188,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,39.3604,0.898,0.8491,0.898,7640.0902,0.0,0.0,0.0,7640.0902,5.0,,,,5.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,40.0049,0.8845,0.7554,0.8845,6837.8396,0.0,0.0,0.0,6837.8396,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,40.3605,0.898,0.8491,0.898,7872.1183,0.0,0.0,0.0,7872.1183,5.0,,,,5.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,41.005,0.8845,0.7554,0.8845,7037.8602,0.0,0.0,0.0,7037.8602,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,41.3608,0.898,0.8491,0.898,8104.1881,0.0,0.0,0.0,8104.1881,5.0,,,,5.0,5.7932,,,,5.7932
