scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
default,nodes=32_prio=4_arrival=8s,3,28.0033,0.7857,0.8528,0.8528,1343.1586,1267.1493,799.0939,733.0863,4142.488,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,28.0034,0.8686,0.8378,0.8686,1593.194,1266.1544,1481.1805,771.0939,5111.6227,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,29.003,0.9237,0.7803,0.9237,1648.1713,1154.1196,860.0892,904.094,4566.4741,12.0,1.0,0.0,0.0,13.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,29.0034,0.7857,0.8528,0.8528,1399.1646,1320.155,835.0977,764.0896,4318.5069,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,29.0035,0.8667,0.8347,0.8667,1668.2001,1321.1589,1548.186,805.0966,5342.6416,11.0,0.0,0.0,2.0,13.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,30.0031,0.9253,0.7833,0.9253,1719.1787,1205.1249,900.0933,944.0981,4768.4949,12.0,1.0,0.0,0.0,13.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,30.0036,0.7857,0.8528,0.8528,1455.1745,1373.1643,871.1041,795.0951,4494.538,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,30.0036,0.8667,0.8347,0.8667,1743.2068,1376.1638,1615.192,839.0997,5573.6622,11.0,0.0,0.0,2.0,13.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,31.0032,0.919,0.7832,0.919,1792.189,1256.1321,937.0985,984.1038,4969.5234,12.0,1.0,3.0,0.0,16.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,31.0037,0.8667,0.8347,0.8667,1818.2143,1431.1693,1682.1987,873.1031,5804.6853,11.0,0.0,0.0,2.0,13.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,31.0037,0.7857,0.8528,0.8528,1511.1832,1426.1726,907.1097,826.1,4670.5655,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,32.0034,0.9158,0.7772,0.9158,1863.1971,1307.1379,974.1027,1024.1083,5168.5461,14.0,1.0,3.0,0.0,18.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,32.0038,0.7857,0.8528,0.8528,1567.1882,1479.1773,943.1129,857.1027,4846.5811,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,32.0039,0.8667,0.8347,0.8667,1893.2257,1486.1776,1749.2089,907.1082,6035.7204,11.0,0.0,0.0,2.0,13.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,33.0035,0.9177,0.7824,0.9177,1934.2034,1359.1425,1011.106,1064.1118,5368.5637,14.0,1.0,3.0,0.0,18.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,33.004,0.7857,0.8528,0.8528,1623.1965,1532.1852,979.1183,888.1073,5022.6074,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,33.004,0.8667,0.8347,0.8667,1968.2366,1541.1856,1816.2186,941.1132,6266.7539,11.0,0.0,0.0,2.0,13.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,34.0035,0.9177,0.7824,0.9177,2005.2097,1411.1471,1048.1093,1104.1154,5568.5815,14.0,1.0,3.0,0.0,18.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,34.0041,0.7857,0.8528,0.8528,1679.2019,1585.1903,1015.1217,919.1103,5198.6242,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,34.0042,0.8647,0.8308,0.8647,2042.2483,1596.1943,1883.2292,975.1186,6496.7905,12.0,0.0,0.0,2.0,14.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,35.0036,0.9177,0.7824,0.9177,2076.2166,1463.1522,1085.1129,1144.1193,5768.6011,14.0,1.0,3.0,0.0,18.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,35.0041,0.7857,0.8528,0.8528,1735.2062,1638.1944,1051.1245,950.1127,5374.6378,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,35.0043,0.8647,0.8308,0.8647,2116.2562,1651.2002,1950.2364,1009.1222,6726.8151,12.0,0.0,0.0,2.0,14.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,36.0037,0.9177,0.7824,0.9177,2147.2222,1515.1563,1122.1158,1184.1224,5968.6167,14.0,1.0,3.0,0.0,18.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,36.0043,0.7857,0.8528,0.8528,1791.2153,1691.203,1087.1304,981.1178,5550.6665,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,36.0044,0.8647,0.8308,0.8647,2190.2627,1706.205,2017.2422,1043.1252,6956.8351,12.0,0.0,0.0,2.0,14.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,37.0038,0.9177,0.7824,0.9177,2218.2286,1567.161,1159.1191,1224.126,6168.6347,14.0,1.0,3.0,0.0,18.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,37.0044,0.7857,0.8528,0.8528,1847.2204,1744.2078,1123.1336,1012.1205,5726.6823,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,37.0045,0.8647,0.8308,0.8647,2264.2746,1761.2139,2084.253,1077.1306,7186.8721,12.0,0.0,0.0,2.0,14.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,38.004,0.9177,0.7824,0.9177,2289.2396,1619.1691,1196.1249,1264.1323,6368.6659,14.0,1.0,3.0,0.0,18.0,1.222,0.0782,0.0735,0.0654,0.4461
