scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
default,nodes=16_prio=4_arrival=4s,3,33.0035,0.8281,0.8566,0.8459,0.9209,29.0,34.0,33.0,18.0,3.0,0.0,0.0,0.0,9.0,2.0,0.0,3.0
default,nodes=16_prio=4_arrival=4s,3,33.0035,0.9079,0.7875,0.9578,0.7971,39.0,21.0,21.0,16.0,2.0,0.0,0.0,0.0,11.0,9.0,7.0,1.0
default,nodes=16_prio=4_arrival=4s,3,34.0036,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,34.0036,0.82,0.8501,0.8378,0.9144,27.0,34.0,33.0,18.0,3.0,0.0,0.0,0.0,11.0,2.0,0.0,3.0
default,nodes=16_prio=4_arrival=4s,3,34.0036,0.9079,0.7875,0.9578,0.7971,39.0,21.0,21.0,16.0,2.0,0.0,0.0,0.0,11.0,9.0,7.0,1.0
default,nodes=16_prio=4_arrival=4s,3,35.0036,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,35.0037,0.82,0.8501,0.8378,0.9144,27.0,34.0,33.0,18.0,3.0,0.0,0.0,0.0,11.0,2.0,0.0,3.0
default,nodes=16_prio=4_arrival=4s,3,35.0037,0.8872,0.7839,0.9165,0.79,38.0,21.0,21.0,16.0,1.0,0.0,0.0,0.0,12.0,9.0,7.0,1.0
default,nodes=16_prio=4_arrival=4s,3,36.0037,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,36.0038,0.8084,0.836,0.8262,0.9003,27.0,34.0,30.0,18.0,3.0,0.0,0.0,0.0,11.0,2.0,3.0,3.0
default,nodes=16_prio=4_arrival=4s,3,36.0038,0.8872,0.7839,0.9165,0.79,38.0,21.0,21.0,16.0,1.0,0.0,0.0,0.0,12.0,9.0,7.0,1.0
default,nodes=16_prio=4_arrival=4s,3,37.0038,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,37.0039,0.8051,0.8398,0.8161,0.8639,29.0,32.0,30.0,18.0,1.0,0.0,0.0,0.0,11.0,4.0,3.0,3.0
default,nodes=16_prio=4_arrival=4s,3,37.0039,0.8784,0.7735,0.9077,0.7796,38.0,21.0,20.0,16.0,1.0,0.0,0.0,0.0,12.0,9.0,8.0,1.0
default,nodes=16_prio=4_arrival=4s,3,38.0039,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,38.004,0.8051,0.8398,0.8161,0.8639,29.0,32.0,30.0,18.0,1.0,0.0,0.0,0.0,11.0,4.0,3.0,3.0
default,nodes=16_prio=4_arrival=4s,3,38.004,0.8784,0.7735,0.9077,0.7796,38.0,21.0,20.0,16.0,1.0,0.0,0.0,0.0,12.0,9.0,8.0,1.0
default,nodes=16_prio=4_arrival=4s,3,39.004,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,39.0041,0.7976,0.8325,0.8086,0.8565,29.0,32.0,30.0,16.0,1.0,0.0,0.0,0.0,11.0,4.0,3.0,5.0
default,nodes=16_prio=4_arrival=4s,3,39.0042,0.8784,0.7735,0.9077,0.7796,38.0,21.0,20.0,16.0,1.0,0.0,0.0,0.0,12.0,9.0,8.0,1.0
default,nodes=16_prio=4_arrival=4s,3,40.0041,0.6141,0.7985,0.6141,0.7985,23.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,40.0042,0.7976,0.8325,0.8086,0.8565,29.0,32.0,30.0,16.0,1.0,0.0,0.0,0.0,11.0,4.0,3.0,5.0
default,nodes=16_prio=4_arrival=4s,3,40.0043,0.8784,0.7735,0.9077,0.7796,38.0,21.0,20.0,16.0,1.0,0.0,0.0,0.0,12.0,9.0,8.0,1.0
default,nodes=16_prio=4_arrival=4s,3,41.0042,0.6141,0.7985,0.6141,0.7985,23.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,41.0043,0.7976,0.8325,0.8086,0.8565,29.0,32.0,30.0,16.0,1.0,0.0,0.0,0.0,11.0,4.0,3.0,5.0
default,nodes=16_prio=4_arrival=4s,3,41.0044,0.8784,0.7735,0.9077,0.7796,38.0,21.0,20.0,16.0,1.0,0.0,0.0,0.0,12.0,9.0,8.0,1.0
default,nodes=16_prio=4_arrival=4s,3,42.0043,0.6141,0.7985,0.6141,0.7985,23.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,42.0044,0.7976,0.8325,0.8086,0.8565,29.0,32.0,30.0,16.0,1.0,0.0,0.0,0.0,11.0,4.0,3.0,5.0
default,nodes=16_prio=4_arrival=4s,3,42.0046,0.8784,0.7735,0.9077,0.7796,38.0,21.0,20.0,16.0,1.0,0.0,0.0,0.0,12.0,9.0,8.0,1.0
default,nodes=16_prio=4_arrival=4s,3,43.0044,0.6726,0.8683,0.6726,0.8683,26.0,25.0,10.0,14.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0
