id,cpu_request,mem_request,inter_arrival_us,life_time_us,priority
clusterdata_2019_a:374909849431:27,0.00566864013671875,0.00262451171875,3,272786000000,0
clusterdata_2019_a:384834358565:2,0.0027313232421875,0.003749847412109375,0,1137000000,103
clusterdata_2019_a:398758381974:79,0.0102081298828125,0.00650787353515625,1,220000000,0
clusterdata_2019_a:378716367655:219,0.04052734375,0.00025463104248046875,1,210000000,0
clusterdata_2019_a:375026799536:188,0.00519561767578125,0.00650787353515625,1,45798000000,0
clusterdata_2019_a:380998569489:838,0.0097198486328125,0.0022125244140625,1,42350000000,0
clusterdata_2019_a:347383176577:6,0.2060546875,0.0110015869140625,12,73629000000,118
clusterdata_2019_a:395421924575:146,0.004669189453125,0.0015277862548828125,1,504000000,0
clusterdata_2019_a:380862126823:255,0.002025604248046875,0.00537109375,0,213000000,107
clusterdata_2019_a:397202362265:0,0.0069580078125,0.002529144287109375,14,137000000,0
clusterdata_2019_a:400328816165:163,0.00624847412109375,0.00650787353515625,1,72000000,0
clusterdata_2019_a:383612911045:882,0.002025604248046875,0.00257110595703125,0,4137000000,103
clusterdata_2019_a:384076194789:37236,0.00566864013671875,0.00262451171875,1,298689000000,0
clusterdata_2019_a:399354643318:65,0.008453369140625,0.00678253173828125,1,188000000,0
clusterdata_2019_a:385520853451:432,0.02545166015625,0.01263427734375,0,892000000,103
clusterdata_2019_a:381522912564:524,0.02886962890625,0.002727508544921875,1,818000000,0
clusterdata_2019_a:383586324097:44,0.0042266845703125,0.00650787353515625,1,490000000,0
clusterdata_2019_a:384562482658:0,0.003875732421875,0.00650787353515625,15,153000000,0
clusterdata_2019_a:383596771019:1220,0.034423828125,0.0560302734375,1,722000000,0
clusterdata_2019_a:382972856026:0,0.00933837890625,0.00650787353515625,13,3514000000,0
clusterdata_2019_a:398031254519:175,0.02703857421875,0.02203369140625,1,25903000000,0
clusterdata_2019_a:382972924502:114,0.013824462890625,0.002117156982421875,1,190000000,200
clusterdata_2019_a:377763333027:133,0.003696441650390625,0.00650787353515625,1,110000000,0
clusterdata_2019_a:380108756168:576,0.003696441650390625,0.00650787353515625,1,45000000,0
clusterdata_2019_a:383435035404:29,0.02325439453125,0.00472259521484375,1,306000000,107
clusterdata_2019_a:376925236981:0,0.003696441650390625,0.0020904541015625,417140,60000000,0
clusterdata_2019_a:385255895442:1773,0.00475311279296875,0.0104217529296875,1,78000000,0
clusterdata_2019_a:380252717810:2714,0.0117950439453125,0.00754547119140625,1,46401000000,0
clusterdata_2019_a:385116119210:996,0.003696441650390625,0.00650787353515625,1,3143000000,0
clusterdata_2019_a:384590555891:0,0.0073089599609375,0.00650787353515625,538014,43000000,0
clusterdata_2019_a:399263966130:1096,0.00246429443359375,0.0016651153564453125,1,3092000000,0
clusterdata_2019_a:378092943412:76,0.00519561767578125,0.00351715087890625,1,29000000,200
clusterdata_2019_a:380987339994:48,0.002025604248046875,0.0039520263671875,1,725000000,103
clusterdata_2019_a:397404282489:87,0.00360870361328125,0.00201416015625,1,1840000000,0
clusterdata_2019_a:375080627367:77,0.0072174072265625,0.028656005859375,1,547000000,0
clusterdata_2019_a:393176369600:445,0.026580810546875,0.01953125,1,135000000,0
clusterdata_2019_a:380496910751:53,0.00211334228515625,0.0009613037109375,1,224000000,0
clusterdata_2019_a:383112871225:422,0.003696441650390625,0.001712799072265625,1,792000000,0
clusterdata_2019_a:385495576262:514,0.0069580078125,0.002307891845703125,1,401000000,0
clusterdata_2019_a:385353393692:1016,0.0015850067138671875,0.001392364501953125,1,878458000000,0
clusterdata_2019_a:393989994328:1937,0.0041351318359375,0.00650787353515625,1,13683000000,0
